ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.71,0.28,0.73,0.13,0.69,0.29,0.48,0.42,0.58,0.35,0.31,0.42,0.12,0.29,0.99,0.01,0.84,0.12,0.98,0.01,0.69,0.12
0.64,0.7,0.26,0.72,0.13,0.67,0.3,0.48,0.4,0.57,0.35,0.36,0.4,0.18,0.3,0.98,0.01,0.9,0.07,0.97,0.01,0.83,0.07
0.65,0.71,0.27,0.73,0.13,0.69,0.29,0.48,0.4,0.58,0.34,0.37,0.4,0.2,0.29,0.99,0.01,0.92,0.05,0.98,0.01,0.86,0.05
0.65,0.7,0.27,0.72,0.13,0.67,0.31,0.47,0.4,0.57,0.35,0.38,0.4,0.19,0.31,0.99,0.01,0.9,0.07,0.97,0.01,0.82,0.07
0.65,0.7,0.27,0.72,0.13,0.68,0.29,0.47,0.4,0.57,0.34,0.39,0.4,0.24,0.29,0.99,0.0,0.96,0.03,0.99,0.0,0.93,0.03
0.65,0.7,0.28,0.72,0.12,0.69,0.28,0.49,0.35,0.59,0.32,0.47,0.35,0.27,0.28,0.98,0.01,0.94,0.04,0.96,0.01,0.9,0.04
0.66,0.71,0.3,0.74,0.12,0.72,0.26,0.49,0.36,0.6,0.31,0.45,0.36,0.27,0.26,0.99,0.0,0.96,0.02,0.99,0.0,0.94,0.02
0.66,0.71,0.3,0.75,0.11,0.73,0.24,0.51,0.34,0.62,0.29,0.48,0.34,0.31,0.24,0.99,0.01,0.98,0.01,0.97,0.01,0.97,0.01
0.67,0.72,0.31,0.76,0.11,0.75,0.22,0.52,0.32,0.64,0.27,0.5,0.32,0.32,0.22,0.99,0.01,0.99,0.01,0.98,0.01,0.98,0.01
0.67,0.71,0.32,0.76,0.1,0.75,0.22,0.54,0.3,0.65,0.26,0.55,0.3,0.36,0.22,0.98,0.01,0.99,0.01,0.96,0.01,0.98,0.01
0.67,0.71,0.32,0.78,0.09,0.77,0.2,0.59,0.24,0.68,0.22,0.63,0.24,0.42,0.2,0.96,0.03,0.99,0.0,0.91,0.03,0.99,0.0
0.67,0.72,0.33,0.79,0.09,0.78,0.19,0.6,0.23,0.69,0.21,0.64,0.23,0.43,0.19,0.96,0.03,1.0,0.0,0.91,0.03,1.0,0.0
0.67,0.71,0.32,0.8,0.09,0.79,0.18,0.61,0.22,0.7,0.2,0.66,0.22,0.47,0.18,0.96,0.03,0.98,0.01,0.91,0.03,0.97,0.01
0.67,0.71,0.32,0.81,0.08,0.8,0.16,0.62,0.22,0.71,0.19,0.66,0.22,0.5,0.16,0.96,0.03,0.96,0.03,0.91,0.03,0.93,0.03
0.67,0.71,0.32,0.82,0.07,0.83,0.14,0.64,0.2,0.73,0.17,0.7,0.2,0.57,0.14,0.96,0.03,0.92,0.05,0.91,0.03,0.88,0.05
0.66,0.7,0.31,0.82,0.07,0.84,0.13,0.64,0.2,0.74,0.17,0.7,0.2,0.61,0.13,0.96,0.03,0.9,0.06,0.92,0.03,0.85,0.06
0.66,0.7,0.31,0.84,0.06,0.86,0.11,0.67,0.17,0.77,0.14,0.74,0.17,0.68,0.11,0.96,0.03,0.88,0.08,0.91,0.03,0.82,0.08
0.67,0.71,0.32,0.87,0.05,0.9,0.08,0.69,0.16,0.79,0.12,0.75,0.16,0.75,0.08,0.96,0.03,0.86,0.09,0.91,0.03,0.79,0.09
0.67,0.71,0.32,0.87,0.05,0.91,0.07,0.72,0.14,0.81,0.11,0.78,0.14,0.77,0.07,0.95,0.03,0.86,0.09,0.89,0.03,0.79,0.09
0.67,0.71,0.33,0.87,0.05,0.9,0.08,0.72,0.14,0.81,0.11,0.78,0.14,0.75,0.08,0.95,0.04,0.87,0.08,0.88,0.04,0.81,0.08
0.67,0.71,0.32,0.88,0.05,0.91,0.07,0.74,0.13,0.82,0.1,0.79,0.13,0.75,0.07,0.95,0.04,0.87,0.08,0.88,0.04,0.8,0.08
0.67,0.71,0.32,0.88,0.05,0.91,0.07,0.74,0.13,0.82,0.1,0.79,0.13,0.77,0.07,0.94,0.04,0.87,0.09,0.88,0.04,0.8,0.09
0.67,0.71,0.33,0.9,0.04,0.92,0.06,0.8,0.1,0.86,0.08,0.85,0.1,0.8,0.06,0.93,0.05,0.88,0.08,0.84,0.05,0.81,0.08
0.67,0.71,0.33,0.91,0.04,0.93,0.05,0.83,0.08,0.88,0.07,0.87,0.08,0.82,0.05,0.92,0.06,0.88,0.08,0.82,0.06,0.81,0.08
0.67,0.72,0.34,0.91,0.04,0.94,0.05,0.84,0.07,0.89,0.06,0.88,0.07,0.83,0.05,0.92,0.06,0.88,0.08,0.82,0.06,0.81,0.08
0.68,0.72,0.34,0.91,0.04,0.93,0.05,0.83,0.08,0.88,0.07,0.88,0.08,0.82,0.05,0.92,0.06,0.88,0.08,0.82,0.06,0.81,0.08
0.67,0.72,0.33,0.9,0.04,0.93,0.05,0.78,0.11,0.85,0.08,0.83,0.11,0.81,0.05,0.94,0.05,0.87,0.09,0.86,0.05,0.79,0.09
0.68,0.72,0.34,0.91,0.03,0.95,0.04,0.83,0.08,0.89,0.06,0.87,0.08,0.86,0.04,0.93,0.05,0.87,0.09,0.83,0.05,0.79,0.09
0.67,0.72,0.33,0.9,0.04,0.94,0.05,0.8,0.1,0.87,0.08,0.83,0.1,0.82,0.05,0.93,0.05,0.87,0.09,0.85,0.05,0.79,0.09
0.67,0.72,0.33,0.91,0.03,0.94,0.05,0.84,0.08,0.89,0.07,0.87,0.08,0.83,0.05,0.92,0.06,0.88,0.08,0.82,0.06,0.8,0.08
0.68,0.72,0.34,0.93,0.03,0.96,0.03,0.87,0.06,0.92,0.04,0.91,0.06,0.89,0.03,0.92,0.06,0.87,0.09,0.81,0.06,0.79,0.09
0.68,0.72,0.34,0.92,0.03,0.96,0.03,0.85,0.07,0.91,0.05,0.89,0.07,0.89,0.03,0.92,0.06,0.87,0.09,0.82,0.06,0.79,0.09
0.68,0.72,0.34,0.92,0.03,0.95,0.04,0.87,0.06,0.91,0.05,0.91,0.06,0.86,0.04,0.91,0.06,0.88,0.08,0.8,0.06,0.81,0.08
0.67,0.72,0.34,0.92,0.03,0.94,0.04,0.87,0.06,0.91,0.05,0.9,0.06,0.84,0.04,0.91,0.06,0.88,0.08,0.8,0.06,0.81,0.08
0.68,0.72,0.34,0.91,0.03,0.94,0.05,0.84,0.07,0.89,0.06,0.89,0.07,0.83,0.05,0.92,0.06,0.88,0.08,0.82,0.06,0.81,0.08
0.68,0.72,0.34,0.91,0.03,0.94,0.05,0.85,0.07,0.9,0.06,0.89,0.07,0.84,0.05,0.92,0.06,0.89,0.08,0.81,0.06,0.81,0.08
0.68,0.72,0.34,0.93,0.03,0.96,0.03,0.88,0.05,0.92,0.04,0.91,0.05,0.89,0.03,0.91,0.06,0.87,0.08,0.8,0.06,0.8,0.08
0.68,0.71,0.34,0.95,0.02,0.99,0.01,0.92,0.03,0.96,0.02,0.95,0.03,0.97,0.01,0.91,0.07,0.85,0.1,0.79,0.07,0.77,0.1
0.68,0.71,0.34,0.95,0.02,0.99,0.01,0.91,0.04,0.95,0.03,0.94,0.04,0.98,0.01,0.91,0.06,0.85,0.1,0.8,0.06,0.76,0.1
0.67,0.71,0.33,0.95,0.02,1.0,0.0,0.94,0.03,0.97,0.01,0.96,0.03,1.0,0.0,0.91,0.07,0.85,0.1,0.79,0.07,0.76,0.1
0.67,0.71,0.34,0.95,0.02,0.99,0.01,0.93,0.03,0.96,0.02,0.95,0.03,0.97,0.01,0.91,0.07,0.86,0.1,0.79,0.07,0.78,0.1
0.67,0.71,0.34,0.94,0.02,0.98,0.02,0.9,0.04,0.94,0.03,0.93,0.04,0.94,0.02,0.91,0.07,0.86,0.09,0.8,0.07,0.78,0.09
0.67,0.72,0.33,0.93,0.03,0.97,0.02,0.87,0.06,0.92,0.04,0.91,0.06,0.93,0.02,0.92,0.06,0.85,0.1,0.82,0.06,0.77,0.1
0.68,0.72,0.34,0.92,0.03,0.94,0.04,0.87,0.06,0.91,0.05,0.91,0.06,0.84,0.04,0.91,0.07,0.89,0.08,0.8,0.07,0.81,0.08
0.68,0.72,0.34,0.92,0.03,0.94,0.04,0.88,0.05,0.91,0.04,0.91,0.05,0.84,0.04,0.91,0.07,0.89,0.07,0.8,0.07,0.82,0.07
0.68,0.72,0.35,0.92,0.03,0.94,0.04,0.87,0.06,0.91,0.05,0.9,0.06,0.84,0.04,0.91,0.06,0.89,0.08,0.8,0.06,0.81,0.08
0.67,0.72,0.33,0.9,0.04,0.93,0.05,0.8,0.1,0.86,0.08,0.84,0.1,0.8,0.05,0.93,0.05,0.88,0.08,0.84,0.05,0.8,0.08
0.67,0.72,0.33,0.9,0.04,0.93,0.06,0.78,0.11,0.85,0.08,0.82,0.11,0.8,0.06,0.94,0.05,0.87,0.09,0.86,0.05,0.8,0.09
0.68,0.72,0.34,0.91,0.03,0.94,0.05,0.85,0.07,0.9,0.06,0.89,0.07,0.82,0.05,0.92,0.06,0.89,0.07,0.81,0.06,0.82,0.07
0.68,0.72,0.35,0.91,0.04,0.93,0.05,0.85,0.07,0.89,0.06,0.89,0.07,0.81,0.05,0.91,0.06,0.9,0.07,0.8,0.06,0.83,0.07
0.68,0.72,0.34,0.9,0.04,0.92,0.06,0.8,0.1,0.86,0.08,0.85,0.1,0.79,0.06,0.93,0.05,0.88,0.08,0.84,0.05,0.81,0.08
0.68,0.72,0.35,0.91,0.03,0.94,0.04,0.85,0.07,0.9,0.06,0.89,0.07,0.84,0.04,0.92,0.06,0.88,0.08,0.81,0.06,0.81,0.08
0.68,0.72,0.34,0.93,0.03,0.96,0.03,0.87,0.06,0.92,0.04,0.91,0.06,0.9,0.03,0.92,0.06,0.87,0.09,0.81,0.06,0.79,0.09
0.68,0.72,0.34,0.93,0.03,0.97,0.03,0.9,0.04,0.94,0.04,0.94,0.04,0.91,0.03,0.91,0.07,0.87,0.09,0.79,0.07,0.79,0.09
0.68,0.72,0.34,0.93,0.03,0.96,0.03,0.87,0.06,0.92,0.04,0.91,0.06,0.9,0.03,0.92,0.06,0.87,0.09,0.81,0.06,0.79,0.09
0.68,0.72,0.34,0.94,0.02,0.97,0.02,0.91,0.04,0.94,0.03,0.94,0.04,0.92,0.02,0.91,0.07,0.87,0.09,0.79,0.07,0.79,0.09
0.68,0.72,0.34,0.93,0.03,0.96,0.03,0.88,0.05,0.92,0.04,0.92,0.05,0.89,0.03,0.91,0.06,0.87,0.08,0.8,0.06,0.8,0.08
0.68,0.72,0.34,0.94,0.02,0.96,0.03,0.94,0.02,0.95,0.03,0.96,0.02,0.89,0.03,0.9,0.08,0.89,0.08,0.77,0.08,0.82,0.08
0.68,0.72,0.34,0.93,0.03,0.95,0.03,0.91,0.04,0.93,0.04,0.93,0.04,0.87,0.03,0.9,0.07,0.89,0.08,0.78,0.07,0.81,0.08
0.68,0.72,0.34,0.92,0.03,0.94,0.05,0.88,0.06,0.91,0.06,0.91,0.06,0.81,0.05,0.91,0.07,0.9,0.07,0.79,0.07,0.83,0.07
0.68,0.72,0.34,0.91,0.04,0.93,0.06,0.85,0.07,0.89,0.07,0.88,0.07,0.78,0.06,0.91,0.06,0.91,0.06,0.8,0.06,0.84,0.06
0.68,0.72,0.34,0.9,0.04,0.92,0.06,0.83,0.08,0.88,0.07,0.87,0.08,0.77,0.06,0.92,0.06,0.9,0.06,0.81,0.06,0.84,0.06
0.68,0.72,0.34,0.92,0.03,0.94,0.04,0.88,0.05,0.91,0.04,0.91,0.05,0.84,0.04,0.91,0.07,0.89,0.07,0.8,0.07,0.82,0.07
0.68,0.72,0.35,0.91,0.04,0.93,0.06,0.85,0.07,0.89,0.07,0.89,0.07,0.8,0.06,0.91,0.06,0.9,0.07,0.8,0.06,0.83,0.07
0.68,0.72,0.34,0.92,0.03,0.95,0.04,0.88,0.05,0.92,0.04,0.91,0.05,0.85,0.04,0.91,0.07,0.89,0.08,0.8,0.07,0.81,0.08
0.68,0.72,0.34,0.92,0.03,0.94,0.05,0.88,0.05,0.91,0.05,0.91,0.05,0.83,0.05,0.91,0.07,0.89,0.07,0.79,0.07,0.83,0.07
0.68,0.72,0.34,0.93,0.03,0.96,0.03,0.92,0.04,0.94,0.04,0.94,0.04,0.88,0.03,0.9,0.07,0.88,0.08,0.78,0.07,0.81,0.08
0.68,0.72,0.34,0.92,0.03,0.95,0.04,0.88,0.05,0.92,0.04,0.91,0.05,0.87,0.04,0.91,0.06,0.88,0.08,0.8,0.06,0.8,0.08
0.68,0.72,0.34,0.92,0.03,0.94,0.05,0.88,0.05,0.91,0.05,0.91,0.05,0.84,0.05,0.91,0.07,0.89,0.07,0.79,0.07,0.82,0.07
0.68,0.72,0.34,0.91,0.04,0.93,0.06,0.83,0.08,0.88,0.07,0.87,0.08,0.8,0.06,0.92,0.06,0.89,0.07,0.82,0.06,0.82,0.07
0.67,0.72,0.33,0.9,0.04,0.92,0.06,0.79,0.11,0.85,0.08,0.83,0.11,0.78,0.06,0.93,0.05,0.88,0.08,0.85,0.05,0.81,0.08
0.67,0.72,0.33,0.91,0.03,0.93,0.05,0.88,0.05,0.91,0.05,0.91,0.05,0.81,0.05,0.91,0.07,0.9,0.06,0.79,0.07,0.84,0.06
0.67,0.71,0.34,0.93,0.03,0.96,0.03,0.92,0.04,0.94,0.04,0.94,0.04,0.89,0.03,0.9,0.07,0.88,0.08,0.78,0.07,0.81,0.08
0.67,0.71,0.33,0.95,0.02,0.99,0.01,0.94,0.02,0.96,0.01,0.96,0.02,0.98,0.01,0.9,0.07,0.85,0.1,0.78,0.07,0.78,0.1
0.67,0.72,0.33,0.94,0.02,0.97,0.02,0.93,0.03,0.95,0.03,0.95,0.03,0.91,0.02,0.9,0.07,0.88,0.08,0.77,0.07,0.8,0.08
0.67,0.71,0.33,0.95,0.02,0.99,0.01,0.96,0.02,0.97,0.01,0.97,0.02,0.97,0.01,0.9,0.08,0.86,0.09,0.77,0.08,0.79,0.09
0.67,0.71,0.33,0.96,0.02,1.0,0.0,0.97,0.01,0.98,0.01,0.98,0.01,0.99,0.0,0.9,0.08,0.86,0.1,0.77,0.08,0.78,0.1
0.67,0.71,0.33,0.97,0.01,0.99,0.01,0.98,0.01,0.98,0.01,0.98,0.01,0.98,0.01,0.9,0.07,0.85,0.1,0.77,0.07,0.76,0.1
0.67,0.71,0.34,0.95,0.02,0.99,0.01,0.96,0.02,0.97,0.01,0.97,0.02,0.96,0.01,0.9,0.08,0.87,0.09,0.77,0.08,0.79,0.09
0.67,0.72,0.34,0.93,0.03,0.95,0.04,0.91,0.04,0.93,0.04,0.93,0.04,0.85,0.04,0.9,0.07,0.89,0.07,0.78,0.07,0.83,0.07
0.68,0.72,0.34,0.92,0.03,0.94,0.05,0.87,0.06,0.91,0.06,0.9,0.06,0.82,0.05,0.91,0.07,0.9,0.07,0.79,0.07,0.83,0.07
0.67,0.72,0.33,0.94,0.02,0.96,0.03,0.93,0.03,0.95,0.03,0.95,0.03,0.89,0.03,0.9,0.08,0.88,0.08,0.77,0.08,0.82,0.08
0.67,0.72,0.34,0.92,0.03,0.94,0.05,0.88,0.05,0.91,0.05,0.91,0.05,0.82,0.05,0.91,0.07,0.9,0.07,0.79,0.07,0.83,0.07
0.68,0.72,0.34,0.91,0.03,0.93,0.06,0.86,0.06,0.9,0.06,0.9,0.06,0.8,0.06,0.91,0.07,0.9,0.07,0.8,0.07,0.83,0.07
0.68,0.72,0.34,0.93,0.03,0.95,0.04,0.92,0.03,0.94,0.04,0.94,0.03,0.85,0.04,0.9,0.08,0.9,0.07,0.77,0.08,0.83,0.07
0.68,0.72,0.34,0.92,0.03,0.93,0.05,0.87,0.06,0.9,0.06,0.91,0.06,0.82,0.05,0.91,0.07,0.9,0.07,0.79,0.07,0.83,0.07
0.68,0.72,0.34,0.9,0.04,0.92,0.06,0.84,0.07,0.88,0.07,0.88,0.07,0.77,0.06,0.91,0.06,0.91,0.06,0.8,0.06,0.85,0.06
0.67,0.72,0.33,0.89,0.04,0.91,0.07,0.79,0.1,0.85,0.09,0.83,0.1,0.75,0.07,0.93,0.05,0.9,0.07,0.84,0.05,0.83,0.07
0.68,0.72,0.34,0.92,0.03,0.94,0.05,0.89,0.05,0.92,0.05,0.92,0.05,0.84,0.05,0.91,0.07,0.89,0.07,0.79,0.07,0.83,0.07
