ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.67,0.85,0.06,0.85,0.12,0.79,0.13,0.72,0.13,0.64,0.12,0.92,0.06,0.91,0.06,0.81,0.06,0.87,0.06
0.67,0.88,0.05,0.88,0.09,0.81,0.12,0.78,0.12,0.67,0.09,0.91,0.07,0.9,0.06,0.79,0.07,0.85,0.06
0.67,0.86,0.06,0.87,0.11,0.78,0.13,0.75,0.13,0.62,0.11,0.91,0.06,0.92,0.05,0.81,0.06,0.87,0.05
0.68,0.84,0.07,0.84,0.14,0.74,0.16,0.7,0.16,0.54,0.14,0.92,0.06,0.95,0.03,0.82,0.06,0.91,0.03
0.68,0.84,0.07,0.84,0.13,0.73,0.16,0.7,0.16,0.53,0.13,0.92,0.06,0.95,0.03,0.82,0.06,0.92,0.03
0.68,0.86,0.06,0.86,0.12,0.77,0.14,0.75,0.14,0.54,0.12,0.91,0.07,0.96,0.02,0.8,0.07,0.93,0.02
0.68,0.86,0.06,0.86,0.12,0.76,0.15,0.74,0.15,0.56,0.12,0.91,0.06,0.95,0.03,0.81,0.06,0.91,0.03
0.68,0.87,0.05,0.88,0.1,0.82,0.11,0.78,0.11,0.64,0.1,0.91,0.07,0.92,0.05,0.79,0.07,0.87,0.05
0.67,0.88,0.05,0.89,0.09,0.82,0.11,0.78,0.11,0.7,0.09,0.91,0.07,0.89,0.07,0.79,0.07,0.84,0.07
0.67,0.88,0.05,0.89,0.09,0.82,0.11,0.77,0.11,0.7,0.09,0.91,0.07,0.89,0.07,0.8,0.07,0.83,0.07
0.68,0.86,0.06,0.86,0.12,0.78,0.13,0.75,0.13,0.55,0.12,0.91,0.07,0.96,0.02,0.79,0.07,0.93,0.02
0.68,0.86,0.06,0.85,0.13,0.76,0.14,0.75,0.14,0.51,0.13,0.9,0.07,0.98,0.02,0.79,0.07,0.96,0.02
0.68,0.85,0.06,0.84,0.14,0.73,0.16,0.72,0.16,0.5,0.14,0.91,0.06,0.98,0.01,0.81,0.06,0.96,0.01
0.68,0.86,0.06,0.85,0.13,0.7,0.17,0.72,0.17,0.49,0.13,0.91,0.06,0.96,0.02,0.82,0.06,0.94,0.02
0.68,0.83,0.07,0.83,0.15,0.7,0.18,0.68,0.18,0.47,0.15,0.93,0.05,0.98,0.01,0.84,0.05,0.96,0.01
0.68,0.83,0.08,0.82,0.16,0.68,0.2,0.66,0.2,0.45,0.16,0.93,0.05,0.98,0.01,0.84,0.05,0.97,0.01
0.68,0.82,0.08,0.81,0.17,0.69,0.19,0.66,0.19,0.45,0.17,0.93,0.05,0.99,0.0,0.84,0.05,0.99,0.0
0.68,0.84,0.07,0.83,0.15,0.69,0.18,0.69,0.18,0.44,0.15,0.92,0.06,1.0,0.0,0.82,0.06,1.0,0.0
0.68,0.83,0.07,0.82,0.16,0.64,0.21,0.67,0.21,0.4,0.16,0.93,0.05,0.99,0.01,0.84,0.05,0.99,0.01
0.69,0.84,0.07,0.83,0.14,0.77,0.14,0.73,0.14,0.5,0.14,0.91,0.07,0.99,0.01,0.8,0.07,0.98,0.01
0.68,0.84,0.07,0.83,0.15,0.77,0.14,0.73,0.14,0.51,0.15,0.91,0.07,0.99,0.01,0.79,0.07,0.97,0.01
0.68,0.85,0.06,0.84,0.13,0.77,0.14,0.74,0.14,0.52,0.13,0.91,0.07,0.98,0.02,0.79,0.07,0.96,0.02
0.68,0.87,0.05,0.87,0.1,0.82,0.11,0.77,0.11,0.64,0.1,0.91,0.07,0.93,0.05,0.79,0.07,0.88,0.05
0.67,0.86,0.06,0.86,0.11,0.79,0.13,0.73,0.13,0.65,0.11,0.92,0.06,0.9,0.06,0.81,0.06,0.85,0.06
0.68,0.84,0.07,0.83,0.14,0.78,0.14,0.73,0.14,0.56,0.14,0.91,0.07,0.95,0.03,0.8,0.07,0.92,0.03
0.68,0.84,0.07,0.83,0.15,0.76,0.15,0.71,0.15,0.52,0.15,0.91,0.06,0.97,0.02,0.8,0.06,0.95,0.02
0.68,0.85,0.07,0.84,0.14,0.74,0.16,0.72,0.16,0.5,0.14,0.92,0.06,0.97,0.02,0.81,0.06,0.95,0.02
0.68,0.84,0.07,0.83,0.15,0.75,0.15,0.71,0.15,0.48,0.15,0.91,0.06,1.0,0.0,0.8,0.06,0.99,0.0
0.68,0.84,0.07,0.81,0.16,0.77,0.14,0.73,0.14,0.47,0.16,0.9,0.07,0.99,0.01,0.78,0.07,0.97,0.01
0.68,0.84,0.07,0.83,0.15,0.71,0.18,0.69,0.18,0.48,0.15,0.92,0.06,0.98,0.02,0.82,0.06,0.96,0.02
0.68,0.87,0.06,0.87,0.11,0.81,0.12,0.76,0.12,0.63,0.11,0.91,0.07,0.93,0.05,0.79,0.07,0.88,0.05
0.67,0.87,0.05,0.89,0.09,0.84,0.1,0.78,0.1,0.73,0.09,0.91,0.07,0.88,0.07,0.79,0.07,0.83,0.07
0.67,0.87,0.05,0.88,0.09,0.83,0.11,0.76,0.11,0.71,0.09,0.92,0.06,0.89,0.07,0.8,0.06,0.83,0.07
0.68,0.87,0.05,0.89,0.09,0.84,0.1,0.77,0.1,0.72,0.09,0.92,0.06,0.89,0.07,0.8,0.06,0.83,0.07
0.67,0.88,0.05,0.89,0.09,0.83,0.11,0.78,0.11,0.72,0.09,0.91,0.07,0.89,0.07,0.79,0.07,0.83,0.07
0.68,0.88,0.05,0.89,0.09,0.79,0.12,0.77,0.12,0.63,0.09,0.91,0.06,0.92,0.05,0.8,0.06,0.86,0.05
